,frecuencia,S1,S2_1,S2_2,S2_3,S2_4,S2_5,S2_6,S2_7
0,6515437500.0,(-0.010566805618423526-0.00721813919829502j),(-0.010251899053081793-0.005118984723139921j),(-0.008783393882820489-0.005347539358506926j),(-0.011964941411384796-0.0062616190523025195j),(-0.011894743430123889-0.00631984768213845j),(-0.010354085847101239-0.006274906002637881j),(-0.00887249633721295-0.005588625511112036j),(-0.011829231204864761-0.005875089882540613j)
1,6538218750.0,(-0.010550801694519477-0.0061367154852562875j),(-0.009793114059186717-0.0046519397470216025j),(-0.00886190448991278-0.005527044433351596j),(-0.01138692057873604-0.004889069554293182j),(-0.011386753167865516-0.004639600087947729j),(-0.010202581747738018-0.005259149085579708j),(-0.008421042555099414-0.005256622495264669j),(-0.011435895686436529-0.004708293665417154j)
2,6561000000.0,(-0.01079446845439783-0.005004390465528915j),(-0.00986441616899974-0.0037618151246858276j),(-0.009383746572992947-0.0048756202063031835j),(-0.01150858112245755-0.0033203847104816987j),(-0.011607631757397268-0.003133502157258849j),(-0.010378847129737861-0.004277825410304977j),(-0.008578249191331268-0.0053119678354162005j),(-0.011349321896098975-0.0028927299510164116j)
3,6583781250.0,(-0.009761343403966423-0.0030442156045926688j),(-0.008115357417566152-0.0025491334921825025j),(-0.00843916238330954-0.003797770254743754j),(-0.008968526760526294-0.0011242335675245721j),(-0.009084531092083644-0.0006265935795412453j),(-0.008788020534202346-0.002609162683997304j),(-0.007890494015804252-0.004649070416960358j),(-0.008867683991392662-0.0012219810580258034j)
4,6606562500.0,(-0.007054028500773257-0.0030193654953516885j),(-0.006055475853765924-0.003994447736938533j),(-0.006876743230828222-0.0046664368278319926j),(-0.005908678778929597-0.0025391948692752393j),(-0.005941670108932781-0.0021389394478171894j),(-0.006463413064094527-0.003788653860781606j),(-0.006800239095661126-0.005801523903564195j),(-0.00629372967911608-0.002422171645990484j)
5,6629343750.0,(-0.005961783385370502-0.004690827312317094j),(-0.0061412368947042426-0.005734443285212928j),(-0.007171044631913892-0.006074994510100757j),(-0.004930088345175606-0.00437786613189217j),(-0.005050381930944653-0.0036234951123631466j),(-0.006325849898107328-0.005304801876596701j),(-0.0073898796632378945-0.00695226455584638j),(-0.005471758471242588-0.004064049720184647j)
6,6652125000.0,(-0.005323895236900816-0.005769045436769487j),(-0.006239721329555635-0.006932713419814965j),(-0.007352977638289876-0.006540597834803142j),(-0.004179433626136921-0.006839998482985209j),(-0.003786537490184948-0.0061694605979275225j),(-0.005883091953547602-0.006602072118813229j),(-0.00778923860197999-0.007635803136908069j),(-0.004789337232938198-0.0057175117913977405j)
7,6674906250.0,(-0.005014180307217822-0.008097470063536488j),(-0.0073983720823285835-0.00870781737157856j),(-0.008060782767354394-0.008090423345857614j),(-0.00564210135223557-0.009587042130332624j),(-0.00550164416059862-0.009104568054854451j),(-0.006964327964872162-0.008801544380001608j),(-0.00909903594635596-0.008591227709705709j),(-0.005224777329907204-0.008260782147451561j)
8,6697687500.0,(-0.006652219292183022-0.009995094804560983j),(-0.009688117001997553-0.008857844691841005j),(-0.010427574736369252-0.007908018018531306j),(-0.008154981781151139-0.010759613331410317j),(-0.0077221640721591035-0.01003888493942997j),(-0.009257846565850145-0.00923639766437624j),(-0.01094606268564772-0.008138306962262908j),(-0.007430545792754574-0.009778061191856863j)
9,6720468750.0,(-0.008670859238264684-0.011124943877189089j),(-0.011116707826411717-0.007951805258322304j),(-0.011050058125260621-0.006548498827736936j),(-0.011094439327638757-0.010492991213010824j),(-0.010606259030163358-0.010185871308861776j),(-0.011076004172732154-0.008695922880515978j),(-0.012165936214923711-0.006821384285908477j),(-0.009475827852224943-0.009916850151935237j)
10,6743250000.0,(-0.012398771256076286-0.010698339533714844j),(-0.01258423383392225-0.0062311808697095485j),(-0.012083675684368326-0.005363387901485955j),(-0.013379346287636679-0.008069899580104645j),(-0.012932640673695737-0.007682350392882427j),(-0.012931024945778524-0.006794187374143754j),(-0.012784710366307833-0.004479106882266845j),(-0.012059008505454155-0.009237201050766832j)
11,6766031250.0,(-0.01375725429158758-0.006504691837075167j),(-0.011327208731153737-0.0026799551944472573j),(-0.010715867442051389-0.0018279095513813223j),(-0.012747357036153994-0.004331159185038537j),(-0.012314322539281108-0.004388330465411295j),(-0.012011393638866278-0.003258234883224405j),(-0.010653946877577205-0.0014703758669745795j),(-0.012935322963444363-0.005710336421480125j)
12,6788812500.0,(-0.011307608679645696-0.004761930251193594j),(-0.006865135119179576-0.0033667788512450935j),(-0.005928287438542812-0.002953288850475988j),(-0.008936088186974462-0.003852371205924198j),(-0.009089982026225987-0.003664381129351338j),(-0.008206709541479881-0.003205929356869213j),(-0.006295624864230771-0.0023184869787392956j),(-0.010085489908384562-0.0048407832147245j)
13,6811593750.0,(-0.010837964763832825-0.004620414696541146j),(-0.0072311293290580015-0.007005031852172513j),(-0.00650046456362464-0.006791431573408926j),(-0.00891621251966562-0.006543366718624805j),(-0.008768884641865026-0.006023236997050562j),(-0.00808373490544873-0.0057153657909890885j),(-0.005940473835609853-0.005656791475303624j),(-0.010821454204779004-0.006127089993457661j)
14,6834375000.0,(-0.008955477621421501-0.003069588801584732j),(-0.0084787892371878-0.0064844545464760595j),(-0.007498113806698077-0.0064520303782137j),(-0.009689258253316799-0.005167722109712662j),(-0.009508665316403419-0.004654482868174285j),(-0.008300623674458465-0.004811737772807981j),(-0.0061335985708625435-0.005831932882435347j),(-0.010565405543866842-0.0034745906610375394j)
15,6857156250.0,(-0.006087198470011271-0.004584771769513469j),(-0.007392694104733829-0.007627672526989751j),(-0.00661281796157031-0.008138863066104115j),(-0.007479999988797177-0.0060619712838444985j),(-0.006890095890971234-0.005571661519540669j),(-0.006129385821373019-0.006328574686177346j),(-0.004777402691811878-0.008470048266816433j),(-0.007149548231552247-0.004215666879120475j)
16,6879937500.0,(-0.005304849011783205-0.006638805574055933j),(-0.009026676010995674-0.008833710183769657j),(-0.008664243089557256-0.009534854480678367j),(-0.008684970848213543-0.007236162209702839j),(-0.008361392164023393-0.007265689777347525j),(-0.007468732262334354-0.008352664800735104j),(-0.007416221731793104-0.010727242492273213j),(-0.006879550025740163-0.006312342622839573j)
17,6902718750.0,(-0.0043130310660024086-0.00951356871387165j),(-0.009092165823184423-0.008587476287792448j),(-0.009253884599117116-0.009214536606831351j),(-0.007300457969684896-0.006796519093338206j),(-0.007183561658500094-0.00638837312269674j),(-0.007280713541179639-0.008470080255025355j),(-0.008146450638801036-0.010499053979655648j),(-0.006041253306089617-0.007886429112019214j)
18,6925500000.0,(-0.006743543761287111-0.013528606441922582j),(-0.010084729192375533-0.010090260580820019j),(-0.010339208349789897-0.010363582577068398j),(-0.007295795314309913-0.009816618260632392j),(-0.006898567299377597-0.009551981350397582j),(-0.008104584570518727-0.01099799745609769j),(-0.00973127881556934-0.012553250337556582j),(-0.007338719296732622-0.010994143493581332j)
19,6948281250.0,(-0.010856357364026395-0.013816275509874427j),(-0.011678539945167418-0.009432090031985783j),(-0.012153566312367574-0.00978667094062127j),(-0.008838111359442973-0.010233878890969852j),(-0.008519157577379722-0.009836843306804522j),(-0.010294063305571432-0.010978270225863833j),(-0.012576247718474584-0.011675924191394828j),(-0.009823716291630938-0.0116167408309539j)
20,6971062500.0,(-0.01337152952131703-0.012733534941611273j),(-0.012250938673088366-0.009553090175695946j),(-0.013118200325429064-0.009327001504674002j),(-0.009611964975149106-0.012168441034367563j),(-0.008832215455998688-0.012096908442841597j),(-0.01128090879846111-0.011818691349082621j),(-0.013747794696797763-0.01129478367886241j),(-0.012027888459726339-0.012004912370669156j)
21,6993843750.0,(-0.015479781660998646-0.010465329540543331j),(-0.013993966229029308-0.008131348348227839j),(-0.014628825901632257-0.007424557136070339j),(-0.013437411037042957-0.011653828075776106j),(-0.013135622529910185-0.011992861347976128j),(-0.014667670210984602-0.01081884238265952j),(-0.016703781928573427-0.009008527924209864j),(-0.014454705786948435-0.009894882396574678j)
22,7016625000.0,(-0.015189990077607744-0.007758665050661259j),(-0.012484592172276758-0.0063762096564601335j),(-0.01293550614486484-0.005109337605867455j),(-0.013236667645474019-0.009237677493409301j),(-0.012954003455242839-0.009605846466156127j),(-0.014294525618683544-0.007876610788093654j),(-0.015107977216855653-0.004866830026486946j),(-0.013367113989600755-0.008020902602138153j)
23,7039406250.0,(-0.014413822410017655-0.006143083222032523j),(-0.011741207725110298-0.007103654080959067j),(-0.011274412752688909-0.005571150462883664j),(-0.013508518770777005-0.009258334536912268j),(-0.014084424484634019-0.009989495462680659j),(-0.013929630171787851-0.007607332049208484j),(-0.01248654862617006-0.004479783712172755j),(-0.01326341741634611-0.00818082907887065j)
24,7062187500.0,(-0.01186296775563304-0.004213665964510725j),(-0.010596867466403858-0.0068378671172407025j),(-0.009710226485974676-0.0055948626082108j),(-0.012744388543169068-0.007642557476700076j),(-0.013751489504472136-0.007168048785108598j),(-0.012899250369031558-0.005644598807774921j),(-0.009915893925354191-0.004277704150802471j),(-0.012429227361377273-0.007206381582749503j)
25,7084968750.0,(-0.007935395697052037-0.006398772591265618j),(-0.009175413015852583-0.009977178347003979j),(-0.0074923580811956676-0.008826389941223685j),(-0.011215779178849809-0.009670327940722475j),(-0.011590299857490114-0.008922805703135233j),(-0.00999072973872293-0.007250089447232943j),(-0.007135350284114751-0.007546223570772842j),(-0.011040576761804368-0.00910401126363446j)
26,7107750000.0,(-0.008274976749142609-0.010449184655100089j),(-0.012301828874425182-0.012736405825147313j),(-0.010275419914276912-0.012743206226053124j),(-0.013406367476990155-0.01101305880571363j),(-0.013527173106100958-0.009795171271894356j),(-0.010933504604811697-0.00975211082617908j),(-0.008364917317287349-0.011249125752798043j),(-0.012943415369525112-0.010896993806440205j)
27,7130531250.0,(-0.009808092543997922-0.012303066727593827j),(-0.015300489077431543-0.012132311157192207j),(-0.013525460862192772-0.012406170915076682j),(-0.01477200605736217-0.010390507330293255j),(-0.013635281718873717-0.009674692360359661j),(-0.011851390601827296-0.01050923358492941j),(-0.010422277805234123-0.013357369536783114j),(-0.014535287554847233-0.010456936047322746j)
28,7153312500.0,(-0.011876187009703422-0.014685544806100095j),(-0.017252788297730127-0.01078692480688333j),(-0.014992242942694366-0.012159312075443627j),(-0.01576375118256297-0.009242538394212883j),(-0.015280690472347928-0.009717814016572308j),(-0.013287333710133352-0.011436403932904803j),(-0.013597650578341029-0.014298877655500019j),(-0.015433131924401086-0.010277538458811705j)
29,7176093750.0,(-0.01630887229709336-0.015050245944411324j),(-0.01800202761329902-0.008675704715317253j),(-0.017212417252755154-0.011362173904088446j),(-0.014933680175617555-0.008160281504195238j),(-0.01491472252817962-0.008343705036747284j),(-0.014575799505590594-0.011352499381449912j),(-0.01581495783947023-0.01366802516216038j),(-0.016755239284130516-0.009574379586637755j)
30,7198875000.0,(-0.019305342061222176-0.012405783273343143j),(-0.017417406922677132-0.007365010986534163j),(-0.017998679595238577-0.009688771365553994j),(-0.014490352623015063-0.008813212601221154j),(-0.014886868145494225-0.009211923783027605j),(-0.01591411080890455-0.011580311620841803j),(-0.018228238558641766-0.013289673651596293j),(-0.016865869262158238-0.008176452547919983j)
31,7221656250.0,(-0.02061827295681145-0.009256405372808758j),(-0.017123086562347595-0.007090707349977102j),(-0.018897948529171735-0.00899843475546698j),(-0.014766773434531642-0.009331440758255273j),(-0.015415420210463802-0.008951997740598051j),(-0.01757025945151781-0.010961147279912846j),(-0.020508981363788335-0.011037273831540975j),(-0.016666230287696815-0.008185765918361789j)
32,7244437500.0,(-0.01954554279894974-0.004931556447287119j),(-0.01735670745370795-0.0059705450745803235j),(-0.020013465195727633-0.006253407135339195j),(-0.015724014283651905-0.009424609885414936j),(-0.01599402009026399-0.00933630947673083j),(-0.019027149638302904-0.009597473153537706j),(-0.021236829553240216-0.008198598575381865j),(-0.0174426265117061-0.006949983141117505j)
33,7267218750.0,(-0.014459150235221922-0.0038358836010957895j),(-0.01498385446207186-0.004873650424730665j),(-0.01721246353105038-0.0036383111263078006j),(-0.015049242989087473-0.008784500839410538j),(-0.01604900639066427-0.00830737225930433j),(-0.018665758510558596-0.0071969880593280005j),(-0.019853965614268027-0.005177238131647717j),(-0.014878333325477298-0.0059447691961743935j)
34,7290000000.0,(-0.012425421742050337-0.007809611520565574j),(-0.013448708292039096-0.007919814566892395j),(-0.014633620348794061-0.00542289369974141j),(-0.015313925156551817-0.011228638073676168j),(-0.01556455763557979-0.010299208389304216j),(-0.017374642186353376-0.007518736709055616j),(-0.01750972617776704-0.005139217545493912j),(-0.014211028239070297-0.00931959178744408j)
35,7312781250.0,(-0.013968166098648897-0.009200931539293184j),(-0.015542471240072213-0.009029728506201729j),(-0.014963379007943447-0.006479046882143123j),(-0.018288688425956948-0.010145876231697722j),(-0.01890243853999532-0.009638456821068129j),(-0.018277392821847815-0.006524372541473156j),(-0.017034859884600854-0.004371888110778704j),(-0.0166695571025922-0.00944540868457359j)
36,7335562500.0,(-0.01299476389905985-0.010140519457251659j),(-0.014773617651099389-0.00936853589268755j),(-0.013382031327259496-0.0073585714147657525j),(-0.016247903852314106-0.008988593583841725j),(-0.016750626557525017-0.007612742342690618j),(-0.01490308366482947-0.005499128628090914j),(-0.012790707980160139-0.004485778598396729j),(-0.015454660325653732-0.009540536059909501j)
37,7358343750.0,(-0.014239530938169445-0.013972619835966895j),(-0.016489292251455026-0.012679635726799865j),(-0.01385685475653289-0.011343419070862542j),(-0.016931530271214593-0.011947202633161413j),(-0.016944468967337457-0.010767825918502859j),(-0.0137272320215028-0.009933897410568035j),(-0.011674403144417554-0.00990397182755132j),(-0.017058075216665372-0.012818861945657034j)
38,7381125000.0,(-0.018544574838677212-0.015050391658349413j),(-0.02016709968543768-0.012516466934572458j),(-0.01748823942867986-0.013067972748045092j),(-0.01911307428984345-0.01189833217674442j),(-0.018847426019228543-0.01034114232314241j),(-0.016144089911354624-0.011981022983286103j),(-0.014031436735849341-0.012539791302268021j),(-0.020849256079765274-0.012756857393443368j)
39,7403906250.0,(-0.021583128813263675-0.01378559640871444j),(-0.02260302197671315-0.01212963276916846j),(-0.02082641634326193-0.013228434984854525j),(-0.020954272691030312-0.012672012412630527j),(-0.019894620607899295-0.011912106207252303j),(-0.018549139031090987-0.01408656040076999j),(-0.01649692209228657-0.01578567438064548j),(-0.023421733600398523-0.011683142135376183j)
40,7426687500.0,(-0.023817985263370898-0.012003978968682714j),(-0.026294115966381343-0.009188260863990737j),(-0.024910912180452556-0.010875276082081683j),(-0.024011988298354874-0.010502873197985589j),(-0.023723394753237266-0.01007293219154945j),(-0.023556260968251287-0.013016397341033898j),(-0.022548184252652526-0.01572082013280099j),(-0.026134136074632813-0.008675633329334223j)
41,7449468750.0,(-0.025200289356021137-0.009540487871556164j),(-0.02486973771220978-0.004782257962007637j),(-0.024635697060077427-0.006559475852379628j),(-0.0229461358099449-0.008686697414530115j),(-0.022172147957176633-0.008082873532734694j),(-0.02386317799955735-0.009992380199378419j),(-0.024094484291649742-0.01288118768331362j),(-0.024822648708301663-0.004840743032239702j)
42,7472250000.0,(-0.02546590781736264-0.006507468334605967j),(-0.023401215647899702-0.005143957731470108j),(-0.02347861001507167-0.006315578385704497j),(-0.02450984741443012-0.009525367611517867j),(-0.024117637372507467-0.009713457081942937j),(-0.025572038414056447-0.010460026048317316j),(-0.02704976720585093-0.013279237583634682j),(-0.023212854522628935-0.0049361522000281426j)
43,7495031250.0,(-0.023123630119351042-0.003582157614886722j),(-0.023877623273040327-0.00303703833586011j),(-0.023892712496494897-0.004014096984328886j),(-0.026217909595249667-0.006018716866038184j),(-0.02615695804618451-0.005918245183032489j),(-0.027732600898726707-0.00596872850320113j),(-0.03076248124717145-0.007770793917959793j),(-0.023369125849706712-0.003104617171180854j)
44,7517812500.0,(-0.01892995453333647-0.0044326291734964295j),(-0.019473129617037288-0.0024844225404493008j),(-0.019223239670570366-0.003838698548154938j),(-0.022888585410171716-0.004314139065567765j),(-0.023133390562192574-0.004513903049816246j),(-0.02350429618298955-0.004195352687789264j),(-0.026699311071628005-0.00389604381323191j),(-0.018361878144239983-0.0028941336839155025j)
45,7540593750.0,(-0.01808452612034072-0.008699842330877656j),(-0.01902995034789217-0.0077117629882133346j),(-0.01973247911205948-0.009914185204480827j),(-0.022692942540871265-0.007282373755627352j),(-0.023223889903258545-0.006913125351189561j),(-0.024167064666968097-0.007587745912146499j),(-0.02622682839914106-0.006432659920017856j),(-0.01835717283867245-0.009984277506633502j)
46,7563375000.0,(-0.02003227579814488-0.011177324080213739j),(-0.022761735483331862-0.008439025993678163j),(-0.02479977535023068-0.010209372313213502j),(-0.025548419317934175-0.005594066975360978j),(-0.026109579395409456-0.005729522754365951j),(-0.02721351617366397-0.005121091364931335j),(-0.02906656810901864-0.0037757699805816896j),(-0.024389779818192334-0.010078707418568741j)
47,7586156250.0,(-0.021616768489605302-0.014758164112582425j),(-0.022987398573850744-0.008671320579395372j),(-0.026371665459503948-0.00984196364345885j),(-0.022208667687380616-0.0036095749788572157j),(-0.023998104027255145-0.0027764353360722393j),(-0.024505069149676463-0.0030076960481598023j),(-0.02594658580360165-0.000772411854870282j),(-0.0237991692540152-0.008943686846051187j)
48,7608937500.0,(-0.030370475151614736-0.018353432451589092j),(-0.026076394785321783-0.010706718582551723j),(-0.03103565404568902-0.009350317515087324j),(-0.02104225158870532-0.007616931382076286j),(-0.02162390817695358-0.005941313014344819j),(-0.023491650105493225-0.005374880999311283j),(-0.02425944415336561-0.002650426284893145j),(-0.027103283663528162-0.011755789398540448j)
49,7631718750.0,(-0.03936721578720239-0.009922249420827783j),(-0.029115619763348026-0.009855681646124785j),(-0.033092855422108755-0.004923062957892333j),(-0.022317572855499717-0.009330567951641227j),(-0.023537766593428273-0.008126725434771389j),(-0.024388312538211002-0.0067463801453181895j),(-0.02426515584707954-0.0026888268590508062j),(-0.030516880432291914-0.00967875380116629j)
50,7654500000.0,(-0.03606007901118941-0.002221640022907182j),(-0.03324448609798289-0.010796938030778032j),(-0.03420109179531026-0.002983778488018596j),(-0.02374753138545794-0.014341091222969038j),(-0.024598908051083425-0.011333065413082585j),(-0.026389334811661322-0.009349155625483746j),(-0.02298140121189185-0.004661380957943145j),(-0.03339955098888053-0.010832090595620302j)
51,7677281250.0,(-0.03687191391251174-0.0021482807200661753j),(-0.04016733709228265-0.005931139964899511j),(-0.03557683121383512+0.002574652625482857j),(-0.032065999028510574-0.017059018865965274j),(-0.031773288586897874-0.014429233148070788j),(-0.03142061398313135-0.009311023161369558j),(-0.0247195147913637-0.007244913571882716j),(-0.040851273177740635-0.006923954935167715j)
52,7700062500.0,(-0.039045304045103355+0.006624836578656744j),(-0.04055540235708645+0.0008536563008079514j),(-0.031074934938160017+0.005820565763242252j),(-0.03960927387712687-0.015526214005609596j),(-0.039112173166888295-0.011722220482552493j),(-0.0347124585720128-0.007480190579906682j),(-0.02704598806860388-0.009770868877887251j),(-0.042409327181147385+0.00019546442094317508j)
53,7722843750.0,(-0.03011121611727512+0.01350657358027335j),(-0.04224795915992782+0.005749347628627659j),(-0.03032477839774487+0.00528729495718591j),(-0.05085774152149805-0.010152823756508476j),(-0.04726906999736688-0.00646949947008193j),(-0.03970384119898847-0.004230948964904188j),(-0.03390095389963547-0.010963332466093637j),(-0.04409101020680007+0.006938200372798386j)
54,7745625000.0,(-0.021185639783544576+0.011966494296601068j),(-0.03999265937621871+0.016129446425226346j),(-0.02890648005855781+0.008595794100087593j),(-0.05577480593435062+0.005567317022346271j),(-0.050745438048041325+0.006726475508297096j),(-0.04043879852199515+0.003027426178557485j),(-0.03861661140016921-0.006524427983084243j),(-0.039533145307069945+0.017066378922487933j)
55,7768406250.0,(-0.013232177861117892+0.005689351012448418j),(-0.029714893091577058+0.022020629119361743j),(-0.023827948249945604+0.009199363602099352j),(-0.05182544989627483+0.01963804528217878j),(-0.0462944997642815+0.017148207222572678j),(-0.03888845822879447+0.006511522591482887j),(-0.04279058195453137-0.004001509764861619j),(-0.030504662658635853+0.020703475950026945j)
56,7791187500.0,(-0.01247159331304181-0.007381807106740206j),(-0.016473561738425305+0.020604322980412787j),(-0.017466909598989843+0.005453682102693002j),(-0.03873377600608024+0.034363435611226796j),(-0.03768623069828173+0.028238106924707487j),(-0.03637062346228158+0.012186136637529297j),(-0.046686075742695884+0.005779981769998217j),(-0.01968518523482444+0.021595291894872085j)
